,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
16,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Aymeric Laporte,14,ESP,CB,29-076,12,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,3a6836b4
17,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Bernardo Silva,20,POR,"CM,RW",29-001,90,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,1,3a6836b4
18,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Cole Palmer,80,ENG,LM,21-097,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3a6836b4
19,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Ederson,31,BRA,GK,29-359,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3a6836b4
20,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-021,79,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,3a6836b4
21,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,James Mcatee,87,ENG,"DM,RB",20-297,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,3a6836b4
22,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-200,12,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0,3a6836b4
23,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Julián Álvarez,19,ARG,"LM,AM,FW",23-192,90,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,3a6836b4
24,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Kevin De Bruyne,17,BEL,DM,32-044,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3a6836b4
25,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-075,89,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,3a6836b4
26,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Manuel Akanji,25,SUI,"CB,RB",28-023,90,3,1,1,2,0,2,4,50.0,2,2,1,1,0,3,2,0,3a6836b4
27,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Mateo Kovačić,8,CRO,CM,29-097,68,2,2,1,0,1,2,2,100.0,0,3,0,3,0,2,0,0,3a6836b4
28,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Nathan Aké,6,NED,CB,28-174,78,3,3,3,0,0,3,3,100.0,0,0,0,0,2,5,1,0,3a6836b4
29,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Phil Foden,47,ENG,"RM,LW",23-075,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,3a6836b4
30,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Rico Lewis,82,ENG,LB,18-263,78,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,3a6836b4
31,ENG-Premier League,2324,2023-08-11 Burnley-Manchester City,Manchester City,Rodri,16,ESP,"DM,CB",27-050,90,5,3,2,2,1,2,2,100.0,0,0,0,0,0,5,0,1,3a6836b4
397,ENG-Premier League,2324,2023-08-19 Manchester City-Newcastle Utd,Manchester City,Ederson,31,BRA,GK,30-002,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0b8f50a5
398,ENG-Premier League,2324,2023-08-19 Manchester City-Newcastle Utd,Manchester City,Erling Haaland,9,NOR,FW,23-029,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,0b8f50a5
399,ENG-Premier League,2324,2023-08-19 Manchester City-Newcastle Utd,Manchester City,Jack Grealish,10,ENG,LW,27-343,90,2,1,1,1,0,2,3,66.7,1,2,1,1,1,3,1,0,0b8f50a5
400,ENG-Premier League,2324,2023-08-19 Manchester City-Newcastle Utd,Manchester City,Joško Gvardiol,24,CRO,LB,21-208,90,1,1,0,1,0,0,2,0.0,2,1,1,0,0,1,0,0,0b8f50a5
